District,Month,Average Maximum (F),Average Minimum (F),Average Temperature (F)
AMA,1,49,23,36.00
AMA,2,54,27,40.50
AMA,3,62,34,48.00
AMA,4,71,42,56.50
AMA,5,79,52,65.50
AMA,6,87,61,74.00
AMA,7,91,65,78.00
AMA,8,89,64,76.50
AMA,9,82,56,69.00
AMA,10,72,45,58.50
AMA,11,58,32,45.00
AMA,12,50,24,37.00
CHS,1,52,27,39.50
CHS,2,58,32,45.00
CHS,3,66,39,52.50
CHS,4,75,48,61.50
CHS,5,83,58,70.50
CHS,6,91,66,78.50
CHS,7,95,71,83.00
CHS,8,94,69,81.50
CHS,9,86,62,74.00
CHS,10,76,50,63.00
CHS,11,63,38,50.50
CHS,12,53,29,41.00
WFS,1,52,29,40.50
WFS,2,58,34,46.00
WFS,3,67,41,54.00
WFS,4,76,49,62.50
WFS,5,84,59,71.50
WFS,6,92,68,80.00
WFS,7,97,72,84.50
WFS,8,96,71,83.50
WFS,9,88,64,76.00
WFS,10,77,52,64.50
WFS,11,64,40,52.00
WFS,12,54,31,42.50
LBB,1,52,24,38.00
LBB,2,58,29,43.50
LBB,3,66,36,51.00
LBB,4,75,45,60.00
LBB,5,83,56,69.50
LBB,6,90,64,77.00
LBB,7,92,68,80.00
LBB,8,90,66,78.00
LBB,9,83,58,70.50
LBB,10,74,47,60.50
LBB,11,62,35,48.50
LBB,12,53,26,39.50
SJT,1,58,29,43.50
SJT,2,63,34,48.50
SJT,3,71,42,56.50
SJT,4,79,50,64.50
SJT,5,86,59,72.50
SJT,6,91,66,78.50
SJT,7,95,70,82.50
SJT,8,94,68,81.00
SJT,9,88,61,74.50
SJT,10,79,51,65.00
SJT,11,67,39,53.00
SJT,12,59,31,45.00
ODA,1,57,30,43.50
ODA,2,63,34,48.50
ODA,3,71,41,56.00
ODA,4,79,49,64.00
ODA,5,87,59,73.00
ODA,6,93,66,79.50
ODA,7,94,69,81.50
ODA,8,93,68,80.50
ODA,9,86,62,74.00
ODA,10,77,51,64.00
ODA,11,66,39,52.50
ODA,12,58,31,44.50
ABL,1,55,32,43.50
ABL,2,61,37,49.00
ABL,3,69,44,56.50
ABL,4,77,52,64.50
ABL,5,85,61,73.00
ABL,6,91,69,80.00
ABL,7,95,72,83.50
ABL,8,94,71,82.50
ABL,9,87,64,75.50
ABL,10,78,54,66.00
ABL,11,65,42,53.50
ABL,12,57,34,45.50
ELP,1,57,33,45.00
ELP,2,63,38,50.50
ELP,3,70,44,57.00
ELP,4,78,51,64.50
ELP,5,87,61,74.00
ELP,6,95,69,82.00
ELP,7,94,72,83.00
ELP,8,92,70,81.00
ELP,9,87,64,75.50
ELP,10,78,52,65.00
ELP,11,66,40,53.00
ELP,12,57,33,45.00
FTW,1,55,31,43.00
FTW,2,61,36,48.50
FTW,3,68,44,56.00
FTW,4,76,52,64.00
FTW,5,83,61,72.00
FTW,6,91,69,80.00
FTW,7,97,72,84.50
FTW,8,96,72,84.00
FTW,9,89,65,77.00
FTW,10,79,55,67.00
FTW,11,67,44,55.50
FTW,12,58,35,46.50
DAL,1,55,36,45.50
DAL,2,61,41,51.00
DAL,3,69,49,59.00
DAL,4,77,56,66.50
DAL,5,84,65,74.50
DAL,6,92,73,82.50
DAL,7,96,77,86.50
DAL,8,96,76,86.00
DAL,9,89,69,79.00
DAL,10,79,58,68.50
DAL,11,66,47,56.50
DAL,12,57,39,48.00
ATL,1,53,31,42.00
ATL,2,59,35,47.00
ATL,3,67,43,55.00
ATL,4,75,51,63.00
ATL,5,82,59,70.50
ATL,6,90,67,78.50
ATL,7,94,71,82.50
ATL,8,94,69,81.50
ATL,9,87,62,74.50
ATL,10,76,50,63.00
ATL,11,64,41,52.50
ATL,12,56,33,44.50
PAR,1,51,30,40.50
PAR,2,58,35,46.50
PAR,3,66,43,54.50
PAR,4,74,51,62.50
PAR,5,81,60,70.50
PAR,6,89,68,78.50
PAR,7,94,72,83.00
PAR,8,95,71,83.00
PAR,9,87,63,75.00
PAR,10,77,52,64.50
PAR,11,63,41,52.00
PAR,12,54,33,43.50
TYL,1,57,38,47.50
TYL,2,64,41,52.50
TYL,3,72,49,60.50
TYL,4,78,55,66.50
TYL,5,84,63,73.50
TYL,6,90,70,80.00
TYL,7,94,73,83.50
TYL,8,94,72,83.00
TYL,9,88,67,77.50
TYL,10,78,56,67.00
TYL,11,67,48,57.50
TYL,12,58,40,49.00
WAC,1,57,33,45.00
WAC,2,62,38,50.00
WAC,3,70,46,58.00
WAC,4,78,53,65.50
WAC,5,84,63,73.50
WAC,6,91,70,80.50
WAC,7,96,74,85.00
WAC,8,96,73,84.50
WAC,9,90,66,78.00
WAC,10,79,55,67.00
WAC,11,68,45,56.50
WAC,12,59,36,47.50
BWD,1,57,30,43.50
BWD,2,62,35,48.50
BWD,3,70,42,56.00
BWD,4,78,51,64.50
BWD,5,84,61,72.50
BWD,6,91,68,79.50
BWD,7,95,71,83.00
BWD,8,95,70,82.50
BWD,9,88,63,75.50
BWD,10,79,52,65.50
BWD,11,68,41,54.50
BWD,12,60,32,46.00
LFK,1,59,38,48.50
LFK,2,65,41,53.00
LFK,3,72,48,60.00
LFK,4,78,54,66.00
LFK,5,84,63,73.50
LFK,6,90,69,79.50
LFK,7,93,72,82.50
LFK,8,94,71,82.50
LFK,9,89,66,77.50
LFK,10,80,55,67.50
LFK,11,69,46,57.50
LFK,12,61,39,50.00
SAT,1,62,39,50.50
SAT,2,67,43,55.00
SAT,3,74,50,62.00
SAT,4,80,57,68.50
SAT,5,86,66,76.00
SAT,6,91,72,81.50
SAT,7,95,74,84.50
SAT,8,95,74,84.50
SAT,9,90,69,79.50
SAT,10,82,59,70.50
SAT,11,71,49,60.00
SAT,12,64,41,52.50
LRD,1,68,44,56.00
LRD,2,73,48,60.50
LRD,3,82,56,69.00
LRD,4,89,63,76.00
LRD,5,95,70,82.50
LRD,6,100,74,87.00
LRD,7,102,75,88.50
LRD,8,101,75,88.00
LRD,9,95,71,83.00
LRD,10,87,63,75.00
LRD,11,77,53,65.00
LRD,12,69,45,57.00
BRY,1,61,40,50.50
BRY,2,66,44,55.00
BRY,3,73,50,61.50
BRY,4,79,57,68.00
BRY,5,85,65,75.00
BRY,6,92,72,82.00
BRY,7,96,74,85.00
BRY,8,96,73,84.50
BRY,9,91,69,80.00
BRY,10,82,59,70.50
BRY,11,71,49,60.00
BRY,12,63,42,52.50
AUS,1,60,40,50.00
AUS,2,65,44,54.50
AUS,3,73,51,62.00
AUS,4,79,58,68.50
AUS,5,85,65,75.00
AUS,6,91,71,81.00
AUS,7,95,73,84.00
AUS,8,96,73,84.50
AUS,9,90,69,79.50
AUS,10,81,60,70.50
AUS,11,70,49,59.50
AUS,12,62,42,52.00
HOU,1,63,45,54.00
HOU,2,67,48,57.50
HOU,3,74,55,64.50
HOU,4,79,61,70.00
HOU,5,86,68,77.00
HOU,6,91,74,82.50
HOU,7,94,75,84.50
HOU,8,93,75,84.00
HOU,9,89,72,80.50
HOU,10,82,62,72.00
HOU,11,73,53,63.00
HOU,12,65,47,56.00
BMT,1,62,43,52.50
BMT,2,65,46,55.50
BMT,3,72,52,62.00
BMT,4,78,59,68.50
BMT,5,84,66,75.00
BMT,6,89,72,80.50
BMT,7,92,74,83.00
BMT,8,92,73,82.50
BMT,9,88,69,78.50
BMT,10,80,60,70.00
BMT,11,71,51,61.00
BMT,12,64,45,54.50
CRP,1,66,46,56.00
CRP,2,70,49,59.50
CRP,3,76,56,66.00
CRP,4,81,62,71.50
CRP,5,86,69,77.50
CRP,6,90,74,82.00
CRP,7,93,74,83.50
CRP,8,93,75,84.00
CRP,9,90,72,81.00
CRP,10,84,64,74.00
CRP,11,75,55,65.00
CRP,12,68,48,58.00
PHR,1,69,48,58.50
PHR,2,73,52,62.50
PHR,3,81,58,69.50
PHR,4,85,64,74.50
PHR,5,89,70,79.50
PHR,6,94,74,84.00
PHR,7,95,75,85.00
PHR,8,96,75,85.50
PHR,9,92,72,82.00
PHR,10,86,65,75.50
PHR,11,78,57,67.50
PHR,12,71,50,60.50
YKM,1,62,39,50.50
YKM,2,66,43,54.50
YKM,3,73,50,61.50
YKM,4,80,57,68.50
YKM,5,86,64,75.00
YKM,6,91,70,80.50
YKM,7,94,71,82.50
YKM,8,95,71,83.00
YKM,9,91,67,79.00
YKM,10,83,58,70.50
YKM,11,72,49,60.50
YKM,12,64,42,53.00
